ID,Name,Temperature,Rainfall,Spawn Chance,Root Height,Height Variation,Types,Class
0,Ocean,0.5,0.5,0.1,-1.0,0.1,OCEAN,biomesoplenty.common.biome.overridden.BiomeGenBOPOcean
1,Plains,0.8,0.4,0.1,0.125,0.05,PLAINS,biomesoplenty.common.biome.overridden.BiomeGenBOPPlains
2,Desert,2.0,0.0,0.1,0.125,0.05,"HOT, DRY, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPDesert
3,Extreme Hills,0.2,0.3,0.1,1.0,0.5,"MOUNTAIN, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPExtremeHills
4,Forest,0.7,0.8,0.1,0.1,0.2,FOREST,biomesoplenty.common.biome.overridden.BiomeGenBOPForest
5,Taiga,0.25,0.8,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
6,Swampland,0.8,0.9,0.1,-0.2,0.1,"WET, SWAMP",biomesoplenty.common.biome.overridden.BiomeGenBOPSwamp
7,River,0.5,0.5,0.1,-0.5,0.0,RIVER,biomesoplenty.common.biome.overridden.BiomeGenBOPRiver
8,Hell,2.0,0.0,0.1,0.1,0.2,"HOT, DRY, NETHER",biomesoplenty.common.biome.overridden.BiomeGenBOPHell
9,Sky,0.5,0.5,0.1,0.1,0.2,"COLD, DRY, END",net.minecraft.world.biome.BiomeGenEnd
10,FrozenOcean,0.0,0.5,0.1,-1.0,0.1,"COLD, OCEAN, SNOWY",net.minecraft.world.biome.BiomeGenOcean
11,FrozenRiver,0.0,0.5,0.1,-0.5,0.0,"COLD, RIVER, SNOWY",net.minecraft.world.biome.BiomeGenRiver
12,Ice Plains,0.0,0.5,0.1,0.125,0.05,"COLD, SNOWY, WASTELAND",biomesoplenty.common.biome.overridden.BiomeGenBOPIcePlains
13,Ice Mountains,0.0,0.5,0.1,0.45,0.3,"COLD, MOUNTAIN, SNOWY",net.minecraft.world.biome.BiomeGenSnow
14,MushroomIsland,0.9,1.0,0.1,0.2,0.3,MUSHROOM,biomesoplenty.common.biome.overridden.BiomeGenBOPMushroomIsland
15,MushroomIslandShore,0.9,1.0,0.1,0.0,0.025,"MUSHROOM, BEACH",biomesoplenty.common.biome.overridden.BiomeGenBOPMushroomIsland
16,Beach,0.8,0.4,0.1,0.0,0.025,BEACH,net.minecraft.world.biome.BiomeGenBeach
17,DesertHills,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, HILLS, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPDesert
18,ForestHills,0.7,0.8,0.1,0.45,0.3,"FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPForest
19,TaigaHills,0.25,0.8,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
20,Extreme Hills Edge,0.2,0.3,0.1,0.8,0.3,MOUNTAIN,biomesoplenty.common.biome.overridden.BiomeGenBOPExtremeHills
21,Jungle,0.95,0.9,0.1,0.1,0.2,"HOT, DENSE, WET, JUNGLE",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
22,JungleHills,0.95,0.9,0.1,0.45,0.3,"HOT, DENSE, WET, JUNGLE, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
23,JungleEdge,0.95,0.8,0.1,0.1,0.2,"HOT, WET, JUNGLE, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
24,Deep Ocean,0.5,0.5,0.1,-1.8,0.1,OCEAN,net.minecraft.world.biome.BiomeGenOcean
25,Stone Beach,0.2,0.3,0.1,0.1,0.8,BEACH,net.minecraft.world.biome.BiomeGenStoneBeach
26,Cold Beach,0.05,0.3,0.1,0.0,0.025,"COLD, SNOWY, BEACH",net.minecraft.world.biome.BiomeGenBeach
27,Birch Forest,0.6,0.6,0.1,0.1,0.2,FOREST,biomesoplenty.common.biome.overridden.BiomeGenBOPBirchForest
28,Birch Forest Hills,0.6,0.6,0.1,0.45,0.3,"FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPBirchForest
29,Roofed Forest,0.7,0.8,0.1,0.1,0.2,"DENSE, SPOOKY, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPRoofedForest
30,Cold Taiga,-0.5,0.4,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST, SNOWY",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
31,Cold Taiga Hills,-0.5,0.4,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS, SNOWY",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
32,Mega Taiga,0.3,0.8,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST",net.minecraft.world.biome.BiomeGenTaiga
33,Mega Taiga Hills,0.3,0.8,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS",net.minecraft.world.biome.BiomeGenTaiga
34,Extreme Hills+,0.2,0.3,0.1,1.0,0.5,"SPARSE, FOREST, MOUNTAIN",net.minecraft.world.biome.BiomeGenHills
35,Savanna,1.2,0.0,0.1,0.125,0.05,"HOT, SPARSE, SAVANNA, PLAINS",biomesoplenty.common.biome.overridden.BiomeGenBOPSavanna
36,Savanna Plateau,1.0,0.0,0.1,1.5,0.025,"HOT, SPARSE, SAVANNA, PLAINS",biomesoplenty.common.biome.overridden.BiomeGenBOPSavanna
37,Mesa,2.0,0.0,0.1,0.1,0.2,"MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
38,Mesa Plateau F,2.0,0.0,0.1,1.5,0.025,"SPARSE, MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
39,Mesa Plateau,2.0,0.0,0.1,1.5,0.025,"MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
40,Alps,0.0,0.5,0.1,8.0,0.025,"COLD, MOUNTAIN, SNOWY",biomesoplenty.common.biome.overworld.BiomeGenAlps
41,Arctic,0.05,0.5,0.1,0.0,0.0,"COLD, DEAD, SNOWY, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenArctic
42,Bamboo Forest,1.2,0.9,0.1,0.1,0.3,"DENSE, JUNGLE, LUSH, FOREST",biomesoplenty.common.biome.overworld.BiomeGenBambooForest
43,Bayou,0.8,0.9,0.1,-0.1,0.1,"WET, LUSH, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenBayou
44,Bog,0.5,0.9,0.1,0.1,0.2,"WET, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenBog
45,Boreal Forest,0.5,0.6,0.1,0.2,0.4,"DENSE, CONIFEROUS, LUSH, FOREST",biomesoplenty.common.biome.overworld.BiomeGenBorealForest
46,Brushland,1.2,0.1,0.1,0.1,0.2,"HOT, DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenBrushland
47,Canyon,1.0,0.3,0.1,5.0,0.025,"HOT, SPARSE, DRY, MOUNTAIN, HILLS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenCanyon
48,Chaparral,0.8,0.6,0.1,0.2,0.3,"SPARSE, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenChaparral
49,Cherry Blossom Grove,0.6,0.8,0.1,0.1,0.2,"LUSH, MAGICAL, FOREST",biomesoplenty.common.biome.overworld.BiomeGenCherryBlossomGrove
50,Coniferous Forest,0.5,0.5,0.1,0.1,0.3,"DENSE, CONIFEROUS, FOREST, HILLS",biomesoplenty.common.biome.overworld.BiomeGenConiferousForest
51,Snowy Coniferous Forest,0.0,0.5,0.1,0.1,0.3,"COLD, DENSE, CONIFEROUS, FOREST, HILLS, SNOWY",biomesoplenty.common.biome.overworld.BiomeGenConiferousForestSnow
52,Crag,1.0,0.0,0.1,2.0,3.0,"DRY, SPOOKY, DEAD, MOUNTAIN, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenCrag
53,Dead Forest,0.4,0.3,0.1,0.1,0.3,"SPARSE, SPOOKY, DEAD, FOREST",biomesoplenty.common.biome.overworld.BiomeGenDeadForest
54,Dead Swamp,0.7,0.9,0.1,0.0,0.1,"SPARSE, SPOOKY, DEAD, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenDeadSwamp
55,Deciduous Forest,0.6,0.8,0.1,0.1,0.2,"DENSE, DRY, FOREST",biomesoplenty.common.biome.overworld.BiomeGenDeciduousForest
56,Dense Forest,0.7,0.7,0.1,0.075,0.05,PLAINS,biomesoplenty.common.biome.overworld.BiomeGenDenseForest
57,Eucalyptus Forest,0.9,1.0,0.1,0.0,0.2,"HOT, WET, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenEucalyptusForest
58,Fen,0.4,0.4,0.1,0.1,0.1,"WET, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenFen
59,Flower Field,0.6,0.7,0.1,0.125,0.05,"LUSH, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenFlowerField
60,Frost Forest,0.0,0.5,0.1,0.1,0.2,"COLD, SPARSE, FOREST, SNOWY",biomesoplenty.common.biome.overworld.BiomeGenFrostForest
61,Fungi Forest,0.9,1.0,0.1,0.1,0.2,"WET, LUSH, MUSHROOM, MAGICAL, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenFungiForest
62,Garden,0.7,0.8,0.1,0.1,0.1,"LUSH, MAGICAL, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenGarden
63,Grassland,0.6,0.7,0.1,0.1,0.2,"SPARSE, LUSH, PLAINS, HILLS, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenGrassland
64,Grove,0.7,0.8,0.1,0.1,0.2,"DENSE, LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenGrove
65,Heathland,0.8,0.2,0.1,0.1,0.2,"DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenHeathland
66,Highland,0.5,0.8,0.1,2.5,0.5,"SPARSE, MOUNTAIN, HILLS",biomesoplenty.common.biome.overworld.BiomeGenHighland
67,Jade Cliffs,0.8,0.9,0.1,0.5,1.0,"DENSE, FOREST, MOUNTAIN",biomesoplenty.common.biome.overworld.BiomeGenJadeCliffs
68,Land of Lakes,0.5,0.9,0.1,0.1,0.2,"WET, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenLandOfLakes
69,Lavender Fields,0.6,0.7,0.1,0.125,0.05,"SPARSE, LUSH, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenLavenderFields
70,Lush Desert,1.1,0.5,0.1,0.2,0.5,"HOT, DRY, SAVANNA, LUSH, SANDY",biomesoplenty.common.biome.overworld.BiomeGenLushDesert
71,Lush Swamp,0.7,1.0,0.1,0.0,0.1,"WET, LUSH, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenLushSwamp
72,Maple Woods,0.2,0.8,0.1,0.1,0.3,"COLD, FOREST",biomesoplenty.common.biome.overworld.BiomeGenMapleWoods
73,Marsh,0.5,0.9,0.1,0.1,0.05,"SPARSE, WET, LUSH, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenMarsh
74,Meadow,0.7,0.7,0.1,0.1,0.2,"LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenMeadow
75,Moor,0.5,1.0,0.1,1.5,0.025,"SPARSE, WET, HILLS, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenMoor
76,Mountain,0.5,0.1,0.1,2.5,0.5,"DRY, FOREST, MOUNTAIN",biomesoplenty.common.biome.overworld.BiomeGenMountain
77,Mystic Grove,0.7,1.0,0.1,0.1,0.2,"WET, LUSH, MAGICAL, FOREST",biomesoplenty.common.biome.overworld.BiomeGenMysticGrove
78,Ominous Woods,0.5,0.9,0.1,0.1,0.2,"SPOOKY, DEAD, MAGICAL, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenOminousWoods
79,Orchard,0.7,0.7,0.1,0.1,0.1,"SPARSE, LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenOrchard
80,Origin Valley,0.7,0.8,0.1,0.1,0.3,PLAINS,biomesoplenty.common.biome.overworld.BiomeGenOriginValley
81,Outback,1.3,0.05,0.1,0.1,0.1,"HOT, DRY, SAVANNA, PLAINS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenOutback
82,Prairie,0.8,0.3,0.1,0.1,0.1,"SPARSE, DRY, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenPrairie
83,Rainforest,1.0,1.0,0.1,0.2,0.9,"DENSE, WET, JUNGLE, LUSH, FOREST, HILLS",biomesoplenty.common.biome.overworld.BiomeGenRainforest
84,Redwood Forest,0.7,0.7,0.1,0.1,0.05,"DENSE, CONIFEROUS, FOREST",biomesoplenty.common.biome.overworld.BiomeGenRedwoodForest
85,Sacred Springs,0.5,0.5,0.1,0.0,0.6,"DENSE, WET, LUSH, MAGICAL, FOREST, MOUNTAIN",biomesoplenty.common.biome.overworld.BiomeGenSacredSprings
86,Seasonal Forest,0.5,0.8,0.1,0.2,0.4,"DENSE, LUSH, FOREST",biomesoplenty.common.biome.overworld.BiomeGenSeasonalForest
87,Shield,0.5,0.8,0.1,0.0,0.2,"WET, CONIFEROUS, OCEAN, RIVER, FOREST",biomesoplenty.common.biome.overworld.BiomeGenShield
88,Shrubland,0.6,0.05,0.1,0.1,0.1,"SPARSE, DRY, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenShrubland
89,Sludgepit,0.8,0.9,0.1,0.0,0.1,"WET, SPOOKY, DEAD, FOREST, SWAMP, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenSludgepit
90,Steppe,0.7,0.05,0.1,0.1,0.4,"HOT, SPARSE, DRY, SAVANNA, DEAD, PLAINS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenSteppe
91,Temperate Rainforest,0.8,1.2,0.1,0.0,0.3,"WET, CONIFEROUS, LUSH, FOREST, HILLS",biomesoplenty.common.biome.overworld.BiomeGenTemperateRainforest
92,Thicket,0.6,0.2,0.1,0.1,0.1,"DENSE, DRY, DEAD, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenThicket
93,Tropical Rainforest,1.2,1.0,0.1,0.2,0.3,"HOT, DENSE, WET, JUNGLE, LUSH",biomesoplenty.common.biome.overworld.BiomeGenTropicalRainforest
94,Tundra,0.2,0.5,0.1,0.0,0.1,"COLD, SPARSE, DRY, DEAD, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenTundra
95,Wasteland,1.0,0.05,0.1,0.1,0.1,"SPARSE, SPOOKY, DEAD, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenWasteland
96,Wetland,0.6,0.9,0.1,-0.1,0.2,"DENSE, WET, LUSH, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenWetland
97,Woodland,0.6,0.4,0.1,0.1,0.2,"DENSE, DRY, FOREST",biomesoplenty.common.biome.overworld.BiomeGenWoodland
98,Xeric Shrubland,1.0,0.2,0.1,0.05,0.1,"HOT, PLAINS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenXericShrubland
99,Coral Reef,0.5,0.9,0.1,-0.6,0.1,"OCEAN, RIVER",biomesoplenty.common.biome.overworld.ocean.BiomeGenCoralReef
100,Eden,0.5,0.5,0.1,0.1,0.2,FOREST,net.divinerpg.dimensions.twilight.eden.BiomeGenEden
101,Wildwood,0.5,0.5,0.1,0.1,0.2,FOREST,net.divinerpg.dimensions.twilight.wildwood.BiomeGenWildwood
102,Apalachia,0.5,0.5,0.1,0.1,0.2,FOREST,net.divinerpg.dimensions.twilight.apalachia.BiomeGenApalachia
103,Skythern,0.5,0.5,0.1,0.1,0.2,PLAINS,net.divinerpg.dimensions.twilight.skythern.BiomeGenSkythern
104,Mortum,0.5,0.5,0.1,0.1,0.2,PLAINS,net.divinerpg.dimensions.twilight.mortum.BiomeGenMortum
105,Arksiane,0.5,0.5,0.1,-1.0,0.0,"RIVER, PLAINS",net.divinerpg.dimensions.vethea.BiomeGenVethea
106,Arcana,0.5,0.5,0.1,0.1,0.2,PLAINS,net.divinerpg.dimensions.arcana.BiomeGenArcana
107,Iceika,0.0,0.5,0.1,0.0,0.7,"COLD, HILLS, SNOWY",net.divinerpg.dimensions.iceika.BiomeGenIceika
108,Kelp Forest,0.5,0.9,0.1,-1.2,0.1,"OCEAN, RIVER, FOREST",biomesoplenty.common.biome.overworld.ocean.BiomeGenKelpForest
109,Tropics,1.2,1.0,0.1,0.2,0.3,"WET, JUNGLE, LUSH, OCEAN, RIVER, BEACH",biomesoplenty.common.biome.overworld.sub.BiomeGenTropics
110,Volcano,2.0,0.05,0.1,2.5,0.5,"HOT, DRY, MOUNTAIN, WASTELAND",biomesoplenty.common.biome.overworld.sub.BiomeGenVolcano
