Handler Recipe Name,Handler Class,Overlay Identifier,Mod DisplayName,ItemStack
Shaped Crafting,appeng.integration.modules.NEIHelpers.NEIAEShapedRecipeHandler,crafting,Applied Energistics 2,1xitem.appliedenergistics2.ItemPart@380
Shapeless Crafting,appeng.integration.modules.NEIHelpers.NEIAEShapelessRecipeHandler,crafting,Applied Energistics 2,1xitem.appliedenergistics2.ItemPart@380
Inscriber,appeng.integration.modules.NEIHelpers.NEIInscriberRecipeHandler,inscriber,Applied Energistics 2,1xtile.appliedenergistics2.BlockInscriber@0
AE2 In World Crafting,appeng.integration.modules.NEIHelpers.NEIWorldCraftingHandler,null,Applied Energistics 2,1xitem.appliedenergistics2.ItemMaterial@9
Grindstone,appeng.integration.modules.NEIHelpers.NEIGrinderRecipeHandler,grindstone,Applied Energistics 2,1xtile.appliedenergistics2.BlockGrinder@0
Facade Crafting,appeng.integration.modules.NEIHelpers.NEIFacadeRecipeHandler,crafting,Applied Energistics 2,1xitem.appliedenergistics2.ItemFacade@192
Refinery,buildcraft.compat.nei.RecipeHandlerRefinery,null,BuildCraft,1xtile.refineryBlock@0
Assembly Table,buildcraft.compat.nei.RecipeHandlerAssemblyTable,null,BuildCraft,1xtile.laserTableBlock@0
Integration Table,buildcraft.compat.nei.RecipeHandlerIntegrationTable,null,BuildCraft,1xtile.laserTableBlock@2
IRecipeInfo,com.creativemd.creativecore.api.nei.NEIRecipeInfoHandler,crafting,Unknown,Unknown
Shapeless Crafting,extracells.integration.nei.UniversalTerminalRecipe,crafting,Extra Cells 2,1xitem.extracells.part.base@9
Xtreme Crafting,fox.spiteful.avaritia.compat.nei.ExtremeShapedRecipeHandler,extreme,Avaritia,1xtile.dire_crafting@0
Xtreme Shapeless,fox.spiteful.avaritia.compat.nei.ExtremeShapelessRecipeHandler,extreme,Avaritia,1xtile.dire_crafting@0
Neutronium Compressor,fox.spiteful.avaritia.compat.nei.CompressionHandler,extreme_compression,Avaritia,1xtile.neutronium_compressor@0
Bee Breeding Tree,hellfirepvp.beebetteratbees.client.gui.BBABGuiRecipeTreeHandler,null,Bees,1xitem.for.beeQueenGE@0
Shaped Crafting,gcewing.projectblue.nei.NEIRecipeHandler,crafting,ProjectBlue,1xitem.gcewing_projectblue:sprayCan@0
Shaped Crafting,codechicken.nei.recipe.ShapedRecipeHandler,crafting,Minecraft,1xtile.workbench@0
Shapeless Crafting,codechicken.nei.recipe.ShapelessRecipeHandler,crafting,Minecraft,1xtile.workbench@0
Fireworks,codechicken.nei.recipe.FireworkRecipeHandler,crafting,Minecraft,1xitem.fireworks@0
Smelting,codechicken.nei.recipe.FurnaceRecipeHandler,smelting,Minecraft,1xtile.furnace@0
Brewing,codechicken.nei.recipe.BrewingRecipeHandler,brewing,Minecraft,1xitem.brewingStand@0
Fuel,codechicken.nei.recipe.FuelRecipeHandler,fuel,Minecraft,Unknown
Usage Profiling,codechicken.nei.recipe.ProfilerRecipeHandler,null,Unknown,Unknown
Items History,codechicken.nei.recipe.ItemsHistoryHandler,null,Unknown,Unknown
Cover Crafting,cofh.thermaldynamics.plugins.nei.RecipeHandlerCover,crafting,Thermal Dynamics,1xitem.thermaldynamics.cover@0
Shader Grabbag,blusunrize.immersiveengineering.client.nei.NEIShaderBagHandler,ieShaderBag,Immersive Engineering,1xitem.ImmersiveEngineering.shaderBag@0
Shaped Crafting,mrtjp.projectred.core.libmc.recipe.PRShapedRecipeHandler,crafting,ProjectRed,1xitem.projectred.transmission.wire@7
Drying Rack,tconstruct.plugins.nei.RecipeHandlerDryingRack,null,Tinker's Construct,1xtile.Armor.DryingRack@0
Shaped IC2 Crafting,ic2.neiIntegration.core.recipehandler.AdvRecipeHandler,crafting,IndustrialCraft 2,1xic2.blockreactorvessel@0
Engineer's Workbench,blusunrize.immersiveengineering.client.nei.NEIBlueprintHandler,ieBlueprintCrafting,Immersive Engineering,1xtile.ImmersiveEngineering.woodenDevice@5
Shapeless Crafting,mrtjp.projectred.core.libmc.recipe.PRShapelessRecipeHandler,crafting,ProjectRed,1xitem.projectred.transmission.wire@7
          Blood Altar,WayofTime.alchemicalWizardry.client.nei.NEIAltarRecipeHandler,altarrecipes,Blood Magic,1xtile.bloodAltar@0
Shapeless IC2 Crafting,ic2.neiIntegration.core.recipehandler.AdvShapelessRecipeHandler,crafting,IndustrialCraft 2,1xic2.blockreactorvessel@0
Ore Converter,exter.fodc.nei.ODCRecipeHandler,null,Ore Dictionary Converter,1xtile.oreConvTable@0
Coke Oven,blusunrize.immersiveengineering.client.nei.NEICokeOvenHandler,ieCokeOven,Immersive Engineering,1xtile.ImmersiveEngineering.stoneDecoration@1
Tool Materials,tconstruct.plugins.nei.RecipeHandlerToolMaterials,null,Tinker's Construct,1xtile.ToolStation@0
Machine Crafting,cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCraftingMachine,crafting,Thermal Expansion,1xtile.thermalexpansion.frame@0
Information,net.darkhax.bookshelf.client.nei.DescriptionHandler,null,Unknown,Unknown
Macerator,ic2.neiIntegration.core.recipehandler.MaceratorRecipeHandler,macerator,IndustrialCraft 2,1xic2.blockMachine@3
Extractor,ic2.neiIntegration.core.recipehandler.ExtractorRecipeHandler,extractor,IndustrialCraft 2,1xic2.blockMachine@4
Blast Furnace,blusunrize.immersiveengineering.client.nei.NEIBlastFurnaceHandler,ieBlastFurnace,Immersive Engineering,1xtile.ImmersiveEngineering.stoneDecoration@2
Smeltery Melting,tconstruct.plugins.nei.RecipeHandlerMelting,null,Tinker's Construct,1xtile.LavaTank@2
Bottler,forestry.factory.recipes.nei.NEIHandlerBottler,null,Forestry for Minecraft,1xtile.for.factory@0
Shaped Orb Crafting,WayofTime.alchemicalWizardry.client.nei.NEIBloodOrbShapedHandler,crafting,Blood Magic,1xtile.bloodRune@3
