Name,ID,Has Block,Mod,Class,Display Name
minecraft:stone,1,true,minecraft,net.minecraft.item.ItemBlock,Stone
minecraft:grass,2,true,minecraft,net.minecraft.item.ItemBlock,Grass Block
minecraft:dirt,3,true,minecraft,net.minecraft.item.ItemMultiTexture,Dirt
minecraft:cobblestone,4,true,minecraft,net.minecraft.item.ItemBlock,Cobblestone
minecraft:planks,5,true,minecraft,net.minecraft.item.ItemMultiTexture,Oak Wood Planks
minecraft:sapling,6,true,minecraft,net.minecraft.item.ItemMultiTexture,Oak Sapling
minecraft:bedrock,7,true,minecraft,net.minecraft.item.ItemBlock,Bedrock
minecraft:flowing_water,8,true,minecraft,net.minecraft.item.ItemBlock,Water
minecraft:water,9,true,minecraft,net.minecraft.item.ItemBlock,Water
minecraft:flowing_lava,10,true,minecraft,net.minecraft.item.ItemBlock,Lava
minecraft:lava,11,true,minecraft,net.minecraft.item.ItemBlock,Lava
minecraft:sand,12,true,minecraft,net.minecraft.item.ItemMultiTexture,Sand
minecraft:gravel,13,true,minecraft,net.minecraft.item.ItemBlock,Gravel
minecraft:gold_ore,14,true,minecraft,net.minecraft.item.ItemBlock,Gold Ore
minecraft:iron_ore,15,true,minecraft,net.minecraft.item.ItemBlock,Iron Ore
minecraft:coal_ore,16,true,minecraft,net.minecraft.item.ItemBlock,Coal Ore
minecraft:log,17,true,minecraft,net.minecraft.item.ItemMultiTexture,Oak Wood
minecraft:leaves,18,true,minecraft,net.minecraft.item.ItemLeaves,Oak Leaves
minecraft:sponge,19,true,minecraft,net.minecraft.item.ItemBlock,Sponge
minecraft:glass,20,true,minecraft,net.minecraft.item.ItemBlock,Glass
minecraft:lapis_ore,21,true,minecraft,net.minecraft.item.ItemBlock,Lapis Lazuli Ore
minecraft:lapis_block,22,true,minecraft,net.minecraft.item.ItemBlock,Lapis Lazuli Block
minecraft:dispenser,23,true,minecraft,net.minecraft.item.ItemBlock,Dispenser
minecraft:sandstone,24,true,minecraft,net.minecraft.item.ItemMultiTexture,Sandstone
minecraft:noteblock,25,true,minecraft,net.minecraft.item.ItemBlock,Note Block
