ID,Name,Version,Custom Container,Disableable,Dependencies
mcp,Minecraft Coder Pack,9.05,true,YES,[]
FML,Forge Mod Loader,7.10.99.99,true,NEVER,[]
Forge,Minecraft Forge,10.13.4.1614,true,NEVER,[]
appliedenergistics2-core,Applied Energistics 2 Core,rv3-beta-6,true,NEVER,[]
CodeChickenCore,CodeChicken Core,1.4.3,true,NEVER,[]
ColorUtility,ColorUtility,1.0.3,true,NEVER,[after:CocoaInput]
CropLoadCoreASM,CroploadCore ASM Core,0.0.2,true,NEVER,[IC2]
LumySkinPatch,Lumy Skin Patch,1.0.13,true,NEVER,[]
NotEnoughItems,NotEnoughItems,2.7.49-GTNH,true,NEVER,"[CodeChickenCore@[1.4.2,), gtnhlib@[0.6.0,)]"
MobiusCore,MobiusCore,1.4.5-mapless,true,NEVER,[]
PlayerAPI,Player API,1.5.0,true,NEVER,[]
ThE-core,Thaumic Energistics Core,1.0.0.1,true,NEVER,[]
GTNHLib Core,GTNHLib Core,0.6.22,true,NEVER,[]
ThaumicTinkerer-preloader,Thaumic Tinkerer Core,0.1,true,NEVER,[]
OpenModsCore,OpenModsCore,0.10.9,true,NEVER,[]
<CoFH ASM>,CoFH ASM,000,true,NEVER,[]
unimixins,UniMixins,0.1.20,false,DEPENDENCIES,[]
unimixins-mixin,UniMixins: Mixin (UniMix),0.1.20,false,RESTART,[]
unimixins-compat,UniMixins: Compatibility,0.1.20,false,RESTART,[]
mixingasm,UniMixins: Mixingasm,0.3,false,RESTART,[]
spongemixins,UniMixins: SpongeMixins,2.0.1,false,DEPENDENCIES,[]
mixinbooterlegacy,UniMixins: MixinBooterLegacy,1.2.1,false,RESTART,[]
gasstation,UniMixins: GasStation,0.5.1,false,RESTART,[]
gtnhmixins,UniMixins: GTNHMixins,2.2.0,false,DEPENDENCIES,[]
mixinextras,UniMixins: MixinExtras,0.1.20,false,RESTART,[]
divinerpg,DivineRPG,1.4.1.5,false,RESTART,[]
IC2,IndustrialCraft 2,2.2.827-experimental,false,DEPENDENCIES,"[Forge@[10.13.0.1200,)]"
AdvancedSolarPanel,Advanced Solar Panels,1.7.10-3.5.1,false,RESTART,"[IC2, gregtech_addon, AppliedEnergistics]"
appliedenergistics2,Applied Energistics 2,rv3-beta-6,false,DEPENDENCIES,"[appliedenergistics2-core, Forge@[10.13.4.1448,)]"
ae2additions,AE2-Additions,1.2.2,false,RESTART,[appliedenergistics2]
bdlib,BD lib,1.10.0-GTNH,false,DEPENDENCIES,[]
ae2stuff,AE2 Stuff,0.5.1.8,false,RESTART,"[appliedenergistics2, bdlib@[1.9.4.109,)]"
AFSU,AFSU Mod,1.2.3a-Freeza,false,RESTART,[IC2]
gtnhlib,GTNH Lib,0.6.22,false,DEPENDENCIES,[]
angelica,Angelica,1.0.0-beta42,false,RESTART,"[hodgepodge@[2.4.4,), CodeChickenCore@[1.2.0,), archaicfix@[0.7.0,), gtnhlib@[0.6.6,)]"
notfine,NotFine,1.0.0-beta42,false,RESTART,[]
mcpatcherforge,MCPatcherForge,1.0.0-alpha,false,RESTART,[]
embeddium,Embeddium,1.0.0-beta42,false,RESTART,[]
AppleCore,AppleCore,3.3.4,false,RESTART,[]
CoFHCore,CoFH Core,1.7.10R3.1.4,false,DEPENDENCIES,"[Forge@[10.13.4.1448,10.14)]"
asielib,AsieLib,0.6.0,false,RESTART,"[Forge@[10.13.2.1236,), CoFHAPI|block@[1.7.10R1.0.0,), CoFHAPI|energy@[1.7.10R1.0.0,), CoFHAPI|tileentity@[1.7.10R1.0.0,), CoFHAPI|item@[1.7.10R1.0.0,)]"
MineFactoryReloaded,MineFactory Reloaded,1.7.10R2.8.2B1,false,RESTART,"[CoFHCore@[1.7.10R3.1.3,1.7.10R3.2.0)]"
Baubles,Baubles,2.0.3,false,DEPENDENCIES,[]
Thaumcraft,Thaumcraft,4.2.3.5,false,DEPENDENCIES,"[Forge@[10.13.2,), Baubles@[1.0.1.10,)]"
MineFactoryReloaded|CompatThaumcraft,MFR Compat: Thaumcraft,1.7.10R2.8.2B1,false,RESTART,"[MineFactoryReloaded, Thaumcraft]"
Waila,Waila,1.8.2,false,DEPENDENCIES,"[NotEnoughItems@[1.0.4.0,)]"
Automagy,Automagy,0.28.2,false,RESTART,"[Thaumcraft@[4.2.3.5,), Waila, MineFactoryReloaded, MineFactoryReloaded|CompatThaumcraft]"
AWWayofTime,Blood Magic: Alchemical Wizardry,v1.3.3,false,RESTART,[]
Botania,Botania,r1.8-249,false,RESTART,"[Baubles, Thaumcraft]"
Avaritia,Avaritia,1.13,false,DEPENDENCIES,"[Thaumcraft, AWWayofTime, Botania]"
wanionlib,WanionLib,1.9.0,false,DEPENDENCIES,[]
avaritiaddons,Avaritiaddons,1.4b,false,RESTART,"[Avaritia, wanionlib@[1.7.10-1.2,)]"
Baubles|Expanded,Baubles Expanded,2.0.3,false,RESTART,[]
beebetteratbees,BeeBetterAtBees,0.4.2-GTNH,false,RESTART,[]
bettercrashes,BetterCrashes,1.4.0-GTNH,false,RESTART,[]
betterloadingscreen,Better Loading Screen GTNH,1.6.1-GTNH,false,RESTART,[]
BiblioCraft,BiblioCraft,1.11.7,false,RESTART,[]
ThermalFoundation,Thermal Foundation,1.7.10R1.2.6,false,DEPENDENCIES,"[CoFHCore@[1.7.10R3.1.4,1.7.10R3.2.0)]"
ThermalExpansion,Thermal Expansion,1.7.10R4.1.5,false,RESTART,"[CoFHCore@[1.7.10R3.1.4,1.7.10R3.2.0), ThermalFoundation@[1.7.10R1.2.6,1.7.10R1.3.0)]"
