Ore Name,ItemStack,Item ID,Display Name,Wildcard
alumiteRod,1xitem.tconstruct.ToolRod@15,TConstruct:toolRod,Alumite Tool Rod,false
antiBlock,1xtile.chisel.antiBlock@0,chisel:antiBlock,Anti Block,false
arditeRod,1xitem.tconstruct.ToolRod@11,TConstruct:toolRod,Ardite Tool Rod,false
bEnderAirBottle,1xitem.manaResource@15,Botania:manaResource,Ender Air Bottle,false
bFlask,1xitem.vial@1,Botania:vial,Alfglass Flask,false
bPlaceholder,1xitem.manaResource@11,Botania:manaResource,Crafting Placeholder,false
bRedString,1xitem.manaResource@12,Botania:manaResource,Red String,false
bVial,1xitem.vial@0,Botania:vial,Managlass Vial,false
barsIron,1xtile.fenceIron@0,minecraft:iron_bars,Iron Bars,false
barsIron,1xtile.blockDarkIronBars@0,EnderIO:blockDarkIronBars,Dark Steel Bars,false
barsIron,1xtile.blockSoulariumBars@0,EnderIO:blockSoulariumBars,Soularium Bars,false
barsIron,1xtile.blockEndSteelBars@0,EnderIO:blockEndSteelBars,End Steel Bars,false
baubleAmuletGold,1xitem.ItemBaubleBlanks@0,Thaumcraft:ItemBaubleBlanks,Mundane Amulet,false
baubleBeltBase,1xitem.TravellersGear.simpleGear@1,TravellersGear:simpleGear,Belt,false
baubleBeltBase,1xitem.ItemBaubleBlanks@2,Thaumcraft:ItemBaubleBlanks,Mundane Belt,false
baubleRingGold,1xitem.TravellersGear.simpleGear@2,TravellersGear:simpleGear,Gold Ring,false
baubleRingGold,1xitem.ItemBaubleBlanks@1,Thaumcraft:ItemBaubleBlanks,Mundane Ring,false
baubleRingSilver,1xitem.TravellersGear.simpleGear@3,TravellersGear:simpleGear,Silver Ring,false
beeComb,1xitem.for.beeCombs@32767,Forestry:beeCombs,(wildcard),true
beeComb,1xitem.comb@0,MagicBees:comb,Mundane Comb,false
beeComb,1xitem.honeyComb@32767,ExtraBees:honeyComb,(wildcard),true
blockAluminium,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,Block of Aluminum,false
blockAluminiumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,Block of Aluminum Brass,false
blockAluminum,1xtile.ImmersiveEngineering.storage@1,ImmersiveEngineering:storage,Block of Aluminium,false
blockAluminum,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,Block of Aluminum,false
blockAluminumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,Block of Aluminum Brass,false
blockAlumite,1xtile.tconstruct.metalblock@8,TConstruct:MetalBlock,Block of Alumite,false
blockAmber,1xtile.gemOre@15,BiomesOPlenty:gemOre,Block of Amber,false
blockAndesite,1xtile.chisel.andesite@0,chisel:andesite,Andesite,false
blockApatite,1xtile.for.resourceStorage@0,Forestry:resourceStorage,Block of Apatite,false
