Class Name,Type
appeng.integration.modules.NEIHelpers.NEIAEShapedRecipeHandler,crafting
appeng.integration.modules.NEIHelpers.NEIAEShapelessRecipeHandler,crafting
appeng.integration.modules.NEIHelpers.NEIInscriberRecipeHandler,crafting
appeng.integration.modules.NEIHelpers.NEIWorldCraftingHandler,crafting
appeng.integration.modules.NEIHelpers.NEIGrinderRecipeHandler,crafting
appeng.integration.modules.NEIHelpers.NEIFacadeRecipeHandler,crafting
buildcraft.compat.nei.RecipeHandlerRefinery,crafting
buildcraft.compat.nei.RecipeHandlerAssemblyTable,crafting
buildcraft.compat.nei.RecipeHandlerIntegrationTable,crafting
com.creativemd.creativecore.api.nei.NEIRecipeInfoHandler,crafting
extracells.integration.nei.UniversalTerminalRecipe,crafting
fox.spiteful.avaritia.compat.nei.ExtremeShapedRecipeHandler,crafting
fox.spiteful.avaritia.compat.nei.ExtremeShapelessRecipeHandler,crafting
fox.spiteful.avaritia.compat.nei.CompressionHandler,crafting
hellfirepvp.beebetteratbees.client.gui.BBABGuiRecipeTreeHandler,crafting
gcewing.projectblue.nei.NEIRecipeHandler,crafting
codechicken.nei.recipe.ShapedRecipeHandler,crafting
codechicken.nei.recipe.ShapelessRecipeHandler,crafting
codechicken.nei.recipe.FireworkRecipeHandler,crafting
codechicken.nei.recipe.FurnaceRecipeHandler,crafting
codechicken.nei.recipe.BrewingRecipeHandler,crafting
codechicken.nei.recipe.FuelRecipeHandler,crafting
codechicken.nei.recipe.ProfilerRecipeHandler,crafting
codechicken.nei.recipe.ItemsHistoryHandler,crafting
cofh.thermaldynamics.plugins.nei.RecipeHandlerCover,crafting
blusunrize.immersiveengineering.client.nei.NEIShaderBagHandler,crafting
tconstruct.plugins.nei.RecipeHandlerDryingRack,crafting
ic2.neiIntegration.core.recipehandler.AdvRecipeHandler,crafting
blusunrize.immersiveengineering.client.nei.NEIBlueprintHandler,crafting
mrtjp.projectred.core.libmc.recipe.PRShapedRecipeHandler,crafting
mrtjp.projectred.core.libmc.recipe.PRShapelessRecipeHandler,crafting
WayofTime.alchemicalWizardry.client.nei.NEIAltarRecipeHandler,crafting
ic2.neiIntegration.core.recipehandler.AdvShapelessRecipeHandler,crafting
exter.fodc.nei.ODCRecipeHandler,crafting
blusunrize.immersiveengineering.client.nei.NEICokeOvenHandler,crafting
tconstruct.plugins.nei.RecipeHandlerToolMaterials,crafting
com.jaquadro.minecraft.storagedrawers.integration.notenoughitems.UpgradeItemRecipeHandler,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCraftingMachine,crafting
net.darkhax.bookshelf.client.nei.DescriptionHandler,crafting
ic2.neiIntegration.core.recipehandler.MaceratorRecipeHandler,crafting
ic2.neiIntegration.core.recipehandler.ExtractorRecipeHandler,crafting
blusunrize.immersiveengineering.client.nei.NEIBlastFurnaceHandler,crafting
tconstruct.plugins.nei.RecipeHandlerMelting,crafting
forestry.factory.recipes.nei.NEIHandlerBottler,crafting
com.kuba6000.mobsinfo.nei.MobHandler,crafting
WayofTime.alchemicalWizardry.client.nei.NEIBloodOrbShapedHandler,crafting
ic2.neiIntegration.core.recipehandler.CompressorRecipeHandler,crafting
crazypants.enderio.nei.AlloySmelterRecipeHandler,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCraftingUpgrade,crafting
forestry.factory.recipes.nei.NEIHandlerCarpenter,crafting
blusunrize.immersiveengineering.client.nei.NEISqueezerHandler,crafting
tconstruct.plugins.nei.RecipeHandlerAlloying,crafting
WayofTime.alchemicalWizardry.client.nei.NEIBloodOrbShapelessHandler,crafting
