Category,Name,Key,Parents,ParentsHidden,Siblings,PermWarp,StickyWarp,Tag,ItemTrigger,EntityTrigger,AspectTrigger
BASICS,"Warp, Flux and all things bad",WARP,,,,0,0,,,,
BASICS,Research,RESEARCH,,,,0,0,,,,
BASICS,Enchantments,ENCHANT,,,,0,0,,,,
BASICS,Auras and Nodes,NODES,,,,0,0,,,,
BASICS,Research Duplication,RESEARCHDUPE,RESEARCHER2,,,0,0,6xCognitio;3xPermutatio;3xSensus;3xLucrum;3xFabrico,,,
BASICS,Ores,ORE,,,,0,0,,,,
BASICS,Aspects of Magic,ASPECTS,,,,0,0,,,,
BASICS,Knowledge Fragments,KNOWFRAG,RESEARCH,,,0,0,,,,
BASICS,Research Mastery,RESEARCHER2,RESEARCHER1,,,1,1,6xCognitio;3xOrdo;3xSensus;3xPraecantatio,,,
BASICS,The Crimson Cult,CRIMSON,,,,2,1,,,,
BASICS,Node in a Jar,NODEJAR,NODEPRESERVE,,,0,0,6xAuram;3xLucrum;3xPermutatio;3xMotus,,,
BASICS,Research Expertise,RESEARCHER1,RESEARCH,,,0,0,3xCognitio;3xSensus;3xOrdo,,,
BASICS,Master Node Tapping,NODETAPPER2,NODETAPPER1,,,0,0,6xAuram;3xPraecantatio;3xMotus;3xPermutatio,,,
BASICS,Deconstruction table,DECONSTRUCTOR,RESEARCHER1,,,0,0,3xCognitio;3xFabrico;3xPerditio,,,
BASICS,Advanced Node Tapping,NODETAPPER1,NODES,,,0,0,3xAuram;3xPraecantatio;3xMotus;3xPermutatio,,,
BASICS,Thaumonomicon,THAUMONOMICON,RESEARCH,,,0,0,,,,
BASICS,Plants & Trees,PLANTS,,,,0,0,,,,
BASICS,Node Preserver,NODEPRESERVE,NODETAPPER1,,,0,0,3xAuram;3xLucrum;3xSensus,,,
BASICS,The Pech,PECH,,,,0,0,,,,
THAUMATURGY,Node Stabilizer,NODESTABILIZER,NODEPRESERVE,,,0,0,4xAuram;4xOrdo;4xPotentia,,,
THAUMATURGY,Compound Recharge Focus,WANDPEDFOC,WANDPED,,,0,0,6xAuram;6xPraecantatio;6xPermutatio;3xPotentia;3xInstrumentum,,,
THAUMATURGY,Tier 5 Upgrade: Vampire Bats ,VAMPBAT,FOCUSHELLBAT,FOCALMANIPULATION,,0,0,5xFames;5xVictus;5xPraecantatio,,,
THAUMATURGY,Bone Wand Core,ROD_bone,ROD_greatwood;INFUSION,,,1,1,3xInstrumentum;6xPerditio;3xExanimis;3xPraecantatio,,,
THAUMATURGY,Basic Wand Craft,BASICTHAUMATURGY,,,,0,0,,,,
THAUMATURGY,Wand Focus: Excavation,FOCUSEXCAVATION,FOCUSFIRE,,,0,0,3xTerra;3xPerditio;3xPraecantatio,,,
THAUMATURGY,Crafting Scepters,SCEPTRE,ROD_silverwood,,thaumicenergistics.Pseudo.SCEPTRE,0,0,6xInstrumentum;6xFabrico;6xArbor;9xPraecantatio,,,
THAUMATURGY,Quartz Staff Core,ROD_quartz_staff,ROD_quartz,ROD_greatwood_staff,,0,0,3xInstrumentum;6xOrdo;3xVitreus;3xPraecantatio,,,
THAUMATURGY,Wand Focus: Nine Hells,FOCUSHELLBAT,,FOCUSFIRE;INFUSION,,1,1,3xIter;6xBestia;3xIgnis;3xPraecantatio,,Thaumcraft.Firebat,Ignis
THAUMATURGY,Vis Charging Relay,VISCHARGERELAY,VISPOWER;WANDPED,ROD_greatwood,,0,0,3xPraecantatio;3xAuram;3xMachina;6xPotentia,,,
THAUMATURGY,Icy Wand Core,ROD_ice,ROD_greatwood;INFUSION,,,0,0,3xInstrumentum;6xGelum;3xAqua;3xPraecantatio,,,
THAUMATURGY,Advanced Node Stabilizer,NODESTABILIZERADV,NODESTABILIZER,,,0,0,9xAuram;6xPraecantatio;6xOrdo;6xPotentia,,,
THAUMATURGY,Reed Wand Core,ROD_reed,ROD_greatwood;INFUSION,,,0,0,3xInstrumentum;6xAer;3xHerba;3xPraecantatio,,,
THAUMATURGY,Magic Staves,ROD_greatwood_staff,ROD_silverwood,,,0,0,3xInstrumentum;6xArbor;3xPraecantatio,,,
THAUMATURGY,Silverwood Staff Core,ROD_silverwood_staff,ROD_silverwood,ROD_greatwood_staff,,0,0,6xInstrumentum;6xArbor;9xPraecantatio,,,
THAUMATURGY,Wand Focus: Frost,FOCUSFROST,FOCUSFIRE,,,0,0,3xAqua;3xPraecantatio;6xGelum,,,
THAUMATURGY,Vis Storage,VISAMULET,WANDPED,,,0,0,3xAuram;6xPraecantatio;3xPotentia;3xVacuos,,,
THAUMATURGY,Focal Manipulation ,FOCALMANIPULATION,VISPOWER,INFUSION;FOCUSFIRE,,0,0,8xPraecantatio;8xInstrumentum;5xFabrico;5xVitreus;5xPotentia,,,
THAUMATURGY,Wand Foci,FOCUSFIRE,BASICTHAUMATURGY,,TMFOCUSFIRE;thaumicenergistics.Pseudo.FOCUSFIRE,0,0,3xIgnis;3xPraecantatio,,,
THAUMATURGY,Gold Wand Caps,CAP_gold,BASICTHAUMATURGY,,,0,0,3xMetallum;3xLucrum;3xInstrumentum,,,
THAUMATURGY,Silverwood Wand Core,ROD_silverwood,ROD_greatwood;INFUSION,,,0,0,6xInstrumentum;6xArbor;9xPraecantatio,,,
THAUMATURGY,Harnessing Vis,VISPOWER,NODESTABILIZER,,thaumicenergistics.Pseudo.VISPOWER,0,0,3xAuram;3xMachina;6xPotentia,,,
THAUMATURGY,Focus Pouch,FOCUSPOUCH,FOCUSFIRE,,,0,0,6xVacuos;3xPraecantatio;3xInstrumentum,,,
THAUMATURGY,Copper Wand Caps,CAP_copper,BASICTHAUMATURGY,,,0,0,3xMetallum;3xPermutatio;3xInstrumentum,,,
THAUMATURGY,Reed Staff Core,ROD_reed_staff,ROD_reed,ROD_greatwood_staff,,0,0,3xInstrumentum;6xAer;3xHerba;3xPraecantatio,,,
THAUMATURGY,Wand Focus: Shock,FOCUSSHOCK,FOCUSFIRE,,,0,0,3xAer;6xPotentia;3xPraecantatio,,,
THAUMATURGY,Silver Wand Caps,CAP_silver,CAP_gold;INFUSION,,,0,0,3xMetallum;3xLucrum;3xInstrumentum;3xAuram,,,
THAUMATURGY,Quartz Wand Core,ROD_quartz,ROD_greatwood;INFUSION,,,0,0,3xInstrumentum;6xOrdo;3xVitreus;3xPraecantatio,,,
THAUMATURGY,tc.research_name.CAP_iron,CAP_iron,,,,0,0,,,,
THAUMATURGY,Wand Focus: Warding,FOCUSWARDING,FOCUSEXCAVATION;INFUSION,,,0,0,6xTerra;3xTutamen;3xOrdo;3xCognitio,,,
THAUMATURGY,Obsidian Wand Core,ROD_obsidian,ROD_greatwood;INFUSION,,,0,0,3xInstrumentum;6xTerra;3xIgnis;3xPraecantatio,,,
THAUMATURGY,Wand Focus: Portable Hole,FOCUSPORTABLEHOLE,FOCUSTRADE;INFUSION,,,0,0,3xIter;3xPerditio;6xAlienis;3xAer,,,
THAUMATURGY,Thaumium Wand Caps,CAP_thaumium,CAP_gold;THAUMIUM;INFUSION,,,0,0,6xMetallum;6xPraecantatio;3xInstrumentum;3xAuram,,,
THAUMATURGY,tc.research_name.ROD_wood,ROD_wood,,,,0,0,,,,
THAUMATURGY,Greatwood Wand Core,ROD_greatwood,BASICTHAUMATURGY,,,0,0,3xInstrumentum;6xArbor;3xPraecantatio,,,
THAUMATURGY,Blaze Rod Wand Core,ROD_blaze,ROD_greatwood;INFUSION,,,0,0,3xInstrumentum;6xIgnis;3xPotentia;3xPraecantatio,,,
THAUMATURGY,Bone Staff Core,ROD_bone_staff,ROD_bone,ROD_greatwood_staff,,1,1,3xInstrumentum;6xPerditio;3xExanimis;3xPraecantatio,,,
THAUMATURGY,Obsidian Staff Core,ROD_obsidian_staff,ROD_obsidian,ROD_greatwood_staff,,0,0,3xInstrumentum;6xTerra;3xIgnis;3xPraecantatio,,,
THAUMATURGY,Wand Focus: Equal Trade,FOCUSTRADE,FOCUSFIRE,,,0,0,3xTerra;6xPermutatio;3xPraecantatio,,,
THAUMATURGY,Icy Staff Core,ROD_ice_staff,ROD_ice,ROD_greatwood_staff,,0,0,3xInstrumentum;6xGelum;3xAqua;3xPraecantatio,,,
THAUMATURGY,Wand Recharge Pedestal,WANDPED,INFUSION;NODEPRESERVE;NODESTABILIZER,,GADOMANCY.PSEUDO.WANDPED,0,0,6xAuram;3xPraecantatio;3xPermutatio;3xPotentia,,,
THAUMATURGY,Blaze Rod Staff Core,ROD_blaze_staff,ROD_blaze,ROD_greatwood_staff,,0,0,3xInstrumentum;6xIgnis;3xPotentia;3xPraecantatio,,,
ALCHEMY,Alumentum,ALUMENTUM,CRUCIBLE,,,0,0,3xPotentia;1xIgnis,,,
ALCHEMY,Purifying Bath Salts,BATHSALTS,,,,0,0,3xCognitio;3xAuram;3xOrdo;3xSano,,,
ALCHEMY,Basic Alchemy,CRUCIBLE,,,,0,0,,,,
ALCHEMY,Entropic Processing,ENTROPICPROCESSING,ALCHEMICALDUPLICATION,,,0,0,1xPraecantatio;3xPerditio;1xFabrico,,,
ALCHEMY,Metal Transmutation,TRANSIRON,THAUMIUM,,,0,0,3xMetallum;3xPermutatio,,,
ALCHEMY,Automated Alchemy,THAUMATORIUM,CENTRIFUGE,,,0,0,3xAqua;6xPraecantatio;3xPermutatio;3xFabrico,,,
ALCHEMY,Alchemical Manufacture,ALCHEMICALMANUFACTURE,ALCHEMICALDUPLICATION,,,0,0,3xPraecantatio;3xPermutatio;3xFabrico,,,
ALCHEMY,Liquid Death,LIQUIDDEATH,ENTROPICPROCESSING,,,2,1,3xMortuus;3xVenenum;1xPerditio;1xAqua,,,Mortuus;Venenum
ALCHEMY,Essentia Tubes,TUBES,DISTILESSENTIA,,,0,0,3xAqua;3xPraecantatio;3xPermutatio,,,
ALCHEMY,Tin Transmutation,TRANSTIN,TRANSIRON,,,0,0,3xMetallum;2xPermutatio;1xVitreus,,,
ALCHEMY,Sanitizing Soap,SANESOAP,BATHSALTS,,,0,0,5xCognitio;5xOrdo;5xSano;5xAlienis,,,
ALCHEMY,Ethereal Bloom,ETHEREALBLOOM,CRUCIBLE,,,0,0,1xPraecantatio;6xHerba;3xSano;6xVitium,,,Vitium
ALCHEMY,Magic Tallow,TALLOW,CRUCIBLE,,,0,0,3xCorpus;1xPraecantatio,,,
ALCHEMY,Silver Purification,PURESILVER,PUREIRON,,,0,0,3xMetallum;2xOrdo;1xLucrum,,,
ALCHEMY,Tin Purification,PURETIN,PUREIRON,,,0,0,3xMetallum;2xOrdo;1xVitreus,,,
ALCHEMY,Copper Transmutation,TRANSCOPPER,TRANSIRON,,,0,0,3xMetallum;3xPermutatio,,,
ALCHEMY,Essentia Crystallization ,ESSENTIACRYSTAL,TUBES,,,0,0,5xAqua;5xVitreus;3xPermutatio;5xPraecantatio,,,
ALCHEMY,Arcane Spa,ARCANESPA,BATHSALTS,,,0,0,3xAqua;3xMachina;3xOrdo,,,
ALCHEMY,Alchemical Centrifuge,CENTRIFUGE,TUBEFILTER,,,0,0,3xPerditio;3xPraecantatio;3xPermutatio;3xFabrico,,,
ALCHEMY,Silver Transmutation,TRANSSILVER,TRANSIRON,,,0,0,3xMetallum;2xPermutatio;1xLucrum,,,
ALCHEMY,Metal Purification,PUREIRON,THAUMIUM,,,0,0,3xMetallum;3xOrdo,,,
ALCHEMY,Alchemical Duplication,ALCHEMICALDUPLICATION,TALLOW,,thaumicenergistics.Pseudo.ALCHEMICALDUPLICATION,0,0,3xPraecantatio;3xLucrum;3xFabrico,,,
ALCHEMY,Void Jar,JARVOID,JARLABEL,,,0,0,3xAqua;3xPerditio;6xVacuos,,,
ALCHEMY,Nitor,NITOR,CRUCIBLE,,,0,0,3xLux;1xIgnis,,,
ALCHEMY,Bottled Taint ,BOTTLETAINT,ENTROPICPROCESSING,,,1,1,5xVitium;3xPraecantatio;1xPerditio;1xAqua,,,Vitium
