ItemStack Display Name,Item Unlocalized Name,Item Numerical ID,Meta,Aspect List
Music Disc,item.record,2258,0,4xSensus;4xAer;4xInstrumentum;4xLucrum
Safari Net (Reusable),item.mfr.safarinet.reusable,5022,32767,20xAlienis;10xPraecantatio;20xIter;3xExanimis;7xSpiritus;3xIra;8xVinculum;4xFabrico
Steam Locomotive,item.railcraft.cart.loco.steam.solid,6049,0,3xAqua;2xMachina;3xIgnis;2xMotus;4xIter
Thaumonomicon,item.ItemThaumonomicon,5082,32767,8xCognitio;4xArbor;2xPannus;2xPraecantatio
Wooden Railbed,item.railcraft.part.railbed,6011,0,
Tin Ore,tile.tconstruct.stoneore,2100,4,3xMetallum;1xPerditio;1xVitreus
Copper Ore,tile.tconstruct.stoneore,2100,3,2xMetallum;1xTerra;1xPermutatio
Otherwhere Glyph,tile.witchery:circleglyphotherwhere,2371,0,1xMachina;1xPraecantatio;1xOrdo;4xAlienis;4xIter
Dark Wood Stairs,tile.darkStairs,2741,0,1xArbor
Rowan Planks,tile.witchery:witchwood,2293,32767,1xArbor
Rowan Planks,tile.witchery:witchwood,2293,0,1xArbor
Chiseled Certus Quartz Block,tile.appliedenergistics2.BlockQuartzChiseled,744,0,2xVitreus
Mob Router,tile.mfr.machine.2,816,12,18xMetallum;1xMotus;3xIter;9xSensus;12xMachina;9xVitreus;9xLucrum;1xPotentia;2xTempus;5xBestia;3xOrdo
Fountain,tile.mfr.machine.2,816,11,25xMetallum;8xVitreus;2xPotentia;10xAqua;5xMachina;3xFabrico;1xIter
Chunk Loader,tile.mfr.machine.2,816,10,33xMetallum;103xPotentia;9xInstrumentum;4xLucrum;30xAlienis;20xPraecantatio;10xIter;10xVacuos;5xMachina
Steam Turbine,tile.mfr.machine.2,816,9,14xPotentia;9xMachina;60xMetallum;4xPermutatio;6xMotus;3xVitreus;4xLucrum;3xVacuos;3xAqua;1xFabrico;3xOrdo
Mob Counter,tile.mfr.machine.2,816,8,7xPotentia;6xTerra;6xMachina;8xOrdo;1xInvidia;32xMetallum;1xPermutatio;3xVitreus;5xCognitio
Block Placer,tile.mfr.machine.2,816,7,8xMachina;2xPermutatio;2xVacuos;11xTerra;11xPerditio;2xArbor;2xBestia;2xPannus;4xPotentia;22xMetallum;3xVitreus;1xMotus;1xOrdo;3xLucrum
Fruit Picker,tile.mfr.machine.2,816,6,44xMetallum;8xVitreus;2xPotentia;2xHerba;4xMeto;5xMachina
Auto-Brewer,tile.mfr.machine.2,816,5,6xIgnis;7xTerra;1xPerditio;17xMetallum;3xVitreus;6xPotentia;2xFabrico;2xAqua;2xPraecantatio;5xMachina
RedNote Block,tile.mfr.machine.2,816,4,4xArbor;15xMetallum;3xVitreus;4xAer;4xSensus;5xMachina
Block Smasher,tile.mfr.machine.2,816,3,7xMachina;3xMotus;20xMetallum;1xArbor;3xVitreus;1xPannus;2xPotentia;5xPerditio;3xPermutatio;3xPraecantatio
Auto-Anvil,tile.mfr.machine.2,816,2,74xMetallum;8xFabrico;3xInstrumentum;3xVitreus;2xPotentia;3xPermutatio;5xMachina
Laser Drill Precharger,tile.mfr.machine.2,816,1,6xVitreus;31xPotentia;6xMachina;3xLucrum;4xLux;2xVictus
